ID	Text	Extra	Source	Tags
overview-cloze-001	Java source files use the {{c1::.java}} extension, while compiled bytecode files use the {{c2::.class}} extension.	Source is human-written; bytecode is executed by the JVM.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-002	{{c1::JVM}} stands for Java Virtual Machine.	The JVM executes bytecode and manages runtime behavior.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::jvm
overview-cloze-003	{{c1::JRE}} stands for Java Runtime Environment.	The JRE provides the JVM and runtime libraries.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-004	{{c1::JDK}} stands for Java Development Kit.	The JDK includes development tools such as `javac`.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-005	{{c1::JVM}} runs bytecode, {{c2::JRE}} runs Java applications, and {{c3::JDK}} builds Java applications.	This is the short memory rule.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-cloze-006	The Java compiler command is {{c1::javac}}, while the command used to run a compiled class is {{c2::java}}.	Compile first, run second.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-007	`javac HelloWorld.java` produces {{c1::HelloWorld.class}} if compilation succeeds.	The output is bytecode.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-008	A `.class` file contains {{c1::bytecode}}, not human-friendly Java source code.	Bytecode is the JVM instruction format.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-009	Java has two basic execution phases: {{c1::compile time}} and {{c2::runtime}}.	Compile time checks/translates; runtime executes.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-010	At runtime, the JVM can load classes, verify bytecode, execute instructions, manage memory, and perform {{c1::JIT compilation}}.	JIT is runtime optimization.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::jvm
overview-cloze-011	JIT stands for {{c1::Just-In-Time}}.	JIT can compile hot bytecode into native machine code.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::jvm
overview-cloze-012	Garbage Collection reclaims memory from objects that are no longer {{c1::reachable}}.	Reachability is more precise than "not used anymore".	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::jvm
overview-cloze-013	Setting a reference variable to {{c1::null}} may make the old object eligible for Garbage Collection if no other references remain.	It does not force immediate collection.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-014	Java is called platform independent because compiled {{c1::bytecode}} can run on different platforms with compatible {{c2::JVMs}}.	The JVM itself is platform-specific.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-015	The JVM itself is built for a specific {{c1::operating system}} and {{c2::CPU architecture}}.	Bytecode is portable; JVM implementations are platform-specific.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-cloze-016	Java robustness is helped by strong static typing, exception handling, automatic memory management, array bounds checking, and no normal {{c1::pointer arithmetic}}.	This list explains why Java avoids some dangerous low-level errors.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-017	Java supports {{c1::multithreading}}, meaning multiple threads of execution can run inside one process.	Useful for servers and background tasks.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::thread
overview-cloze-018	Multithreading can introduce problems such as {{c1::race conditions}} and {{c2::deadlocks}}.	Concurrency is powerful but risky.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::thread
overview-cloze-019	Java SE means {{c1::Java Standard Edition}}.	Java Core mostly means Java SE fundamentals.	01-overview/theory/04-editions-and-versions.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-020	Jakarta EE was formerly called {{c1::Java EE}}.	Older resources may still use the Java EE name.	01-overview/theory/04-editions-and-versions.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-021	Java ME means {{c1::Java Micro Edition}}.	It was designed for smaller or embedded devices.	01-overview/theory/04-editions-and-versions.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-022	Java 8 introduced lambda expressions, functional interfaces, Stream API, and the new {{c1::Date and Time API}}.	These features remain important in modern Java code.	01-overview/theory/04-editions-and-versions.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-023	LTS stands for {{c1::Long-Term Support}}.	Java 11, 17, and 21 are commonly discussed LTS releases.	01-overview/theory/04-editions-and-versions.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-cloze-024	Java 21 is known for modern features such as {{c1::virtual threads}}.	Virtual threads matter for scalable concurrent server applications.	01-overview/theory/04-editions-and-versions.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::thread
