ID	Front	Back	Source	Tags
stream_api-basic-001	What should you know about `What is Stream?` in Stream API?	A Stream is a pipeline for processing elements through lazy operations.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-002	Why does `What is Stream?` matter in Java?	It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-003	What should you know about `Stream vs Collection` in Stream API?	A collection is an object that groups multiple elements under a common API.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-004	Why does `Stream vs Collection` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-005	What should you know about `Create Stream:` in Stream API?	A Stream is a pipeline for processing elements through lazy operations.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-006	Why does `Create Stream:` matter in Java?	It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-007	What should you know about `from List` in Stream API?	A List is an ordered collection that can contain duplicates and supports positional access.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-008	Why does `from List` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-009	What should you know about `from Array`in Stream API?	from Array is a specific concept in Stream API; learn its Java rule, valid use cases, and failure mode rather than only its name.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-010	Why does `from Array` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-011	What should you know about `from Map` in Stream API?	A Map stores key-value pairs and retrieves values by key.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-012	Why does `from Map` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-013	What should you know about `Stream.of` in Stream API?	A Stream is a pipeline for processing elements through lazy operations.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-014	Why does `Stream.of` matter in Java?	It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-015	What should you know about `IntStream` in Stream API?	A Stream is a pipeline for processing elements through lazy operations.	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
