ID	Text	Extra	Source	Tags
module_system-cloze-001	In Java Module System, {{c1::What is a module?}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-002	In Java Module System, {{c1::module-info.java}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-003	In Java Module System, {{c1::requires}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-004	In Java Module System, {{c1::exports}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-005	In Java Module System, {{c1::opens}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-006	In Java Module System, {{c1::Named module}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-007	In Java Module System, {{c1::Unnamed module}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-008	In Java Module System, {{c1::Automatic module}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-009	In Java Module System, {{c1::Module-level encapsulation}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-cloze-010	In Java Module System, {{c1::Module path vs Classpath}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
