ID	Text	Extra	Source	Tags
jdbc-cloze-001	In JDBC, {{c1::What is JDBC?}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-002	In JDBC, {{c1::Driver}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-003	In JDBC, {{c1::DriverManager}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-004	In JDBC, {{c1::Connection}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-005	In JDBC, {{c1::Statement}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-006	In JDBC, {{c1::PreparedStatement}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-007	In JDBC, {{c1::CallableStatement}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-008	In JDBC, {{c1::ResultSet}} is a concept you should define, apply, and connect to common mistakes.	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-009	In JDBC, {{c1::Transaction:}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-010	In JDBC, {{c1::commit}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-011	In JDBC, {{c1::rollback}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-012	In JDBC, {{c1::setAutoCommit}} is a concept you should define, apply, and connect to common mistakes.	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-013	In JDBC, {{c1::Batch processing}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-014	In JDBC, {{c1::SQL Injection}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-015	In JDBC, {{c1::Basic Connection Pool}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-016	In JDBC, {{c1::DataSource}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-cloze-017	In JDBC, {{c1::CRUD using JDBC}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-aug-cloze-001	{{c1::What is JDBC?}}: JDBC is the Java API for connecting to relational databases	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md	/home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-aug-cloze-002	{{c1::Driver}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md	/home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-aug-cloze-003	{{c1::DriverManager}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md	/home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-aug-cloze-004	{{c1::Connection}}: Connection represents an active database connection used to create statements and manage transactions	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md	/home/fhu_thjen/projects/learning-java/34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
