ID	Front	Back	Source	Tags
jvm_advanced-basic-001	What should you know about `JVM architecture` in Advanced JVM?	The JVM executes bytecode and manages runtime services such as memory, JIT, and GC.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced java::interview
jvm_advanced-basic-002	Why does `JVM architecture` matter in Java?	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced java::interview
jvm_advanced-basic-003	What should you know about `Class Loader Subsystem`in Advanced JVM?	Class Loader Subsystem is a specific concept in Advanced JVM; learn its Java rule, valid use cases, and failure mode rather than only its name.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-004	Why does `Class Loader Subsystem` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-005	What should you know about `Runtime Data Areas:` in Advanced JVM?	Runtime Data Areas is a group of related rules in Advanced JVM that groups several related details.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-006	Why does `Runtime Data Areas:` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-007	What should you know about `Heap` in Advanced JVM?	Heap stores objects created at runtime.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-008	Why does `Heap` matter in Java?	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-009	What should you know about `Stack` in Advanced JVM?	Stack stores method frames, local variables, and call flow for each thread.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-010	Why does `Stack` matter in Java?	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-011	What should you know about `Method Area / Metaspace` in Advanced JVM?	Metaspace stores class metadata outside the ordinary Java heap in modern JVMs.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-012	Why does `Method Area / Metaspace` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-013	What should you know about `PC Register`in Advanced JVM?	PC Register is a specific concept in Advanced JVM; learn its Java rule, valid use cases, and failure mode rather than only its name.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-014	Why does `PC Register` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-015	What should you know about `Native Method Stack` in Advanced JVM?	Stack stores method frames, local variables, and call flow for each thread.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-basic-016	Why does `Native Method Stack` matter in Java?	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
